Code du département;Département;Code de la circonscription;Circonscription;Code de la commune;Commune;Bureau de vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Insee;Coordonnées;Nom Bureau Vote;Adresse;Code Postal;Ville;uniq_bdv
94;Val-de-Marne;11;11ème circonscription;076;Villejuif;0023;730;459;62.88;271;37.12;4;0.55;1.48;2;0.27;0.74;265;36.3;97.79;7;F;JAOUEN;Marianne;ECO;16;2.19;6.04;94076;48.804662,2.36645;Ecole maternelle Pasteur;69 rue Pasteur;94800;Villejuif;Ecole maternelle Pasteur -  Villejuif
94;Val-de-Marne;07;7ème circonscription;021;Chevilly-Larue;0010;1197;581;48.54;616;51.46;6;0.5;0.97;2;0.17;0.32;608;50.79;98.7;6;F;OLLIÉ;Anaïs;DVD;0;0.0;0.0;94021;48.768305,2.361684;Ecole maternelle Jacques Gilbert - Collet;4 rue Edouard Branly;94550;Chevilly-Larue;Ecole maternelle Jacques Gilbert - Collet -  Chevilly-Larue
94;Val-de-Marne;11;11ème circonscription;037;Gentilly;0010;504;288;57.14;216;42.86;1;0.2;0.46;1;0.2;0.46;214;42.46;99.07;16;F;MAZURIER;Christine;EXG;2;0.4;0.93;94037;48.81438,2.333486;Ecole maternelle Jean Lurcat;Chaperon Vert, 2eme avenue;94250;Gentilly;Ecole maternelle Jean Lurcat -  Gentilly
94;Val-de-Marne;07;7ème circonscription;038;L'Hay-les-Roses;0016;953;466;48.9;487;51.1;3;0.31;0.62;2;0.21;0.41000000000000003;482;50.58;98.97;11;F;CHENAULT;Sylvie;DLF;4;0.42;0.8300000000000001;94038;48.777928,2.349656;Groupe scolaire du Jardin parisien;26 rue Jules Ferry;94240;L'Haÿ-les-Roses;Groupe scolaire du Jardin parisien -  L'Haÿ-les-Roses
94;Val-de-Marne;01;1ère circonscription;068;Saint-Maur-des-Fossés;0041;953;448;47.01;505;52.99;4;0.42;0.79;2;0.21;0.4;499;52.36;98.81;3;M;DESCROZAILLE;Frédéric;REM;198;20.78;39.68;94068;48.791537,2.480293;Ecole primaire la Pie;5 avenue d’Arromanches;94100;Saint-Maur-des-Fossés;Ecole primaire la Pie -  Saint-Maur-des-Fossés
94;Val-de-Marne;08;8ème circonscription;018;Charenton-le-Pont;0012;1098;474;43.17;624;56.83;6;0.55;0.96;1;0.09;0.16;617;56.19;98.88;13;M;HOULEY;Rémi;ECO;21;1.9100000000000001;3.4;94018;48.826633,2.401867;Ecole maternelle Valmy;2 rue de Valmy;94220;Charenton-le-Pont;Ecole maternelle Valmy -  Charenton-le-Pont
94;Val-de-Marne;07;7ème circonscription;038;L'Hay-les-Roses;0008;1096;415;37.86;681;62.14;6;0.55;0.88;3;0.27;0.44;672;61.31;98.68;6;F;OLLIÉ;Anaïs;DVD;0;0.0;0.0;94038;48.770267,2.326652;Groupe scolaire des Blondeaux;Rue des écoles;94240;L'Haÿ-les-Roses;Groupe scolaire des Blondeaux -  L'Haÿ-les-Roses
94;Val-de-Marne;01;1ère circonscription;028;Créteil;0032;1000;433;43.3;567;56.7;7;0.7000000000000001;1.23;1;0.1;0.18;559;55.9;98.59;11;M;KASPI;André;LR;75;7.5;13.42;94028;48.791655,2.46528;Ecole élémentaire Victor Hugo;7 avenue de la République;94000;Créteil;Ecole élémentaire Victor Hugo -  Créteil
94;Val-de-Marne;05;5ème circonscription;015;Bry-sur-Marne;0002;1074;526;48.98;548;51.02;12;1.12;2.19;0;0.0;0.0;536;49.91;97.81;14;F;HUGUENIN-RICHARD;Isabelle;FN;25;2.33;4.66;94015;48.833286,2.520332;Ecole Louis Daguerre;25 rue Daguerre;94360;Bry-sur-Marne;Ecole Louis Daguerre -  Bry-sur-Marne
94;Val-de-Marne;05;5ème circonscription;017;Champigny-sur-Marne;0042;963;708;73.52;255;26.48;6;0.62;2.35;0;0.0;0.0;249;25.86;97.65;2;M;CARREZ;Gilles;LR;17;1.77;6.83;94017;48.806691,2.551004;Maison pour tous du Bois l'Abbé;6 Place Rodin;94500;Champigny-sur-Marne;Maison pour tous du Bois l'Abbé -  Champigny-sur-Marne
94;Val-de-Marne;09;9ème circonscription;002;Alfortville;0011;912;458;50.22;454;49.78;5;0.55;1.1;2;0.22;0.44;447;49.01;98.46;4;F;YAPO;Monique;ECO;8;0.88;1.79;94002;48.809778,2.414257;Ecole Elémentaire Octobre B - gymnase;76 rue Marcelin Berthelot;94140;Alfortville;Ecole Elémentaire Octobre B - gymnase -  Alfortville
94;Val-de-Marne;01;1ère circonscription;068;Saint-Maur-des-Fossés;0016;939;396;42.17;543;57.83;6;0.64;1.1;0;0.0;0.0;537;57.19;98.9;6;M;GENDRE;Daniel;EXG;0;0.0;0.0;94068;48.796466,2.475802;Ecole maternelle Champignol (préau);31 rue Carpeaux;94100;Saint-Maur-des-Fossés;Ecole maternelle Champignol (préau) -  Saint-Maur-des-Fossés
94;Val-de-Marne;11;11ème circonscription;037;Gentilly;0008;839;323;38.5;516;61.5;6;0.72;1.16;0;0.0;0.0;510;60.79;98.84;16;F;MAZURIER;Christine;EXG;3;0.36;0.59;94037;48.814826,2.338911;Ecole primaire Lamartine (aile droite);22/24 rue des Champs Elysées;94250;Gentilly;Ecole primaire Lamartine (aile droite) -  Gentilly
94;Val-de-Marne;07;7ème circonscription;034;Fresnes;0008;1005;685;68.16;320;31.84;7;0.7000000000000001;2.19;1;0.1;0.31;312;31.04;97.5;7;M;UM;Jean Jacques;SOC;15;1.49;4.8100000000000005;94034;48.7635,2.328682;Salle Polyvalente des Marguerites;rue du Docteur Charcot;94260;Fresnes;Salle Polyvalente des Marguerites -  Fresnes
94;Val-de-Marne;01;1ère circonscription;028;Créteil;0023;1041;413;39.67;628;60.33;6;0.58;0.96;1;0.1;0.16;621;59.65;98.89;2;F;ZINGER;Cécilia;DIV;4;0.38;0.64;94028;48.806871,2.463726;R.P.A du Halage;55 quai du Halage;94000;Créteil;R.P.A du Halage -  Créteil
